HeroSpeechId,Warrior,Rogue,Sorceror,Monk,Bard,Barbarian
ChamberOfBoneLore,PS_WARR1,PS_ROGUE1,PS_MAGE1,PS_MONK1,PS_ROGUE1,PS_WARR1
HorazonsSanctumLore,PS_WARR2,PS_ROGUE2,PS_MAGE2,PS_MONK2,PS_ROGUE2,PS_WARR2
GolemSpellLore,PS_WARR3,PS_ROGUE3,PS_MAGE3,PS_MONK3,PS_ROGUE3,PS_WARR3
HorazonsCreatureOfFlameLore,PS_WARR4,PS_ROGUE4,PS_MAGE4,PS_MONK4,PS_ROGUE4,PS_WARR4
MortaVespaGaieaInnuminoEvegeenJatanLuaGraton,PS_WARR5,PS_ROGUE5,PS_MAGE5,PS_MONK5,PS_ROGUE5,PS_WARR5
GrimspikeLieutenantOfBelialLore,PS_WARR6,PS_ROGUE6,PS_MAGE6,PS_MONK6,PS_ROGUE6,PS_WARR6
HorazonsJournal,PS_WARR7,PS_ROGUE7,PS_MAGE7,PS_MONK7,PS_ROGUE7,PS_WARR7
YourDeathWillBeAvenged,PS_WARR8,PS_ROGUE8,PS_MAGE8,PS_MONK8,PS_ROGUE8,PS_WARR8
RestInPeaceMyFriend,PS_WARR9,PS_ROGUE9,PS_MAGE9,PS_MONK9,PS_ROGUE9,PS_WARR9
ValorLore,PS_WARR10,PS_ROGUE10,PS_MAGE10,PS_MONK10,PS_ROGUE10,PS_WARR10
HallsOfTheBlindLore,PS_WARR11,PS_ROGUE11,PS_MAGE11,PS_MONK11,PS_ROGUE11,PS_WARR11
WarlordOfBloodLore,PS_WARR12,PS_ROGUE12,PS_MAGE12,PS_MONK12,PS_ROGUE12,PS_WARR12
ICantUseThisYet,PS_WARR13,PS_ROGUE13,PS_MAGE13,PS_MONK13,PS_ROGUE13,PS_WARR13
ICantCarryAnymore,PS_WARR14,PS_ROGUE14,PS_MAGE14,PS_MONK14,PS_ROGUE14,PS_WARR14
IHaveNoRoom,PS_WARR15,PS_ROGUE15,PS_MAGE15,PS_MONK15,PS_ROGUE15,PS_WARR15
WhereWouldIPutThis,PS_WARR16,PS_ROGUE16,PS_MAGE16,PS_MONK16,PS_ROGUE16,PS_WARR16
NoWay,PS_WARR17,PS_ROGUE17,PS_MAGE17,PS_MONK17,PS_ROGUE17,PS_WARR17
NotAChance,PS_WARR18,PS_ROGUE18,PS_MAGE18,PS_MONK18,PS_ROGUE18,PS_WARR18
IdNeverUseThis,PS_WARR19,PS_ROGUE19,PS_MAGE19,PS_MONK19,PS_ROGUE19,PS_WARR19
IdHaveToEquipThat,PS_WARR20,PS_ROGUE20,PS_MAGE20,PS_MONK20,PS_ROGUE20,PS_WARR20
ICantMoveThis,PS_WARR21,PS_ROGUE21,PS_MAGE21,PS_MONK21,PS_ROGUE21,PS_WARR21
ICantMoveThisYet,PS_WARR22,PS_ROGUE22,PS_MAGE22,PS_MONK22,PS_ROGUE22,PS_WARR22
ICantOpenThis,PS_WARR23,PS_ROGUE23,PS_MAGE23,PS_MONK23,PS_ROGUE23,PS_WARR23
ICantOpenThisYet,PS_WARR24,PS_ROGUE24,PS_MAGE24,PS_MONK24,PS_ROGUE24,PS_WARR24
ICantLiftThis,PS_WARR25,PS_ROGUE25,PS_MAGE25,PS_MONK25,PS_ROGUE25,PS_WARR25
ICantLiftThisYet,PS_WARR26,PS_ROGUE26,PS_MAGE26,PS_MONK26,PS_ROGUE26,PS_WARR26
ICantCastThatHere,PS_WARR27,PS_ROGUE27,PS_MAGE27,PS_MONK27,PS_ROGUE27,PS_WARR27
ICantCastThatYet,PS_WARR28,PS_ROGUE28,PS_MAGE28,PS_MONK28,PS_ROGUE28,PS_WARR28
ThatDidntDoAnything,PS_WARR29,PS_ROGUE29,PS_MAGE29,PS_MONK29,PS_ROGUE29,PS_WARR29
ICanAlreadyDoThat,PS_WARR30,PS_ROGUE30,PS_MAGE30,PS_MONK30,PS_ROGUE30,PS_WARR30
IDontNeedThat,PS_WARR31,PS_ROGUE31,PS_MAGE31,PS_MONK31,PS_ROGUE31,PS_WARR31
IDontNeedToDoThat,PS_WARR32,PS_ROGUE32,PS_MAGE32,PS_MONK32,PS_ROGUE32,PS_WARR32
IDontWantThat,PS_WARR33,PS_ROGUE33,PS_MAGE33,PS_MONK33,PS_ROGUE33,PS_WARR33
IDontHaveASpellReady,PS_WARR34,PS_ROGUE34,PS_MAGE34,PS_MONK34,PS_ROGUE34,PS_WARR34
NotEnoughMana,PS_WARR35,PS_ROGUE35,PS_MAGE35,PS_MONK35,PS_ROGUE35,PS_WARR35
ThatWouldKillMe,PS_WARR36,PS_ROGUE36,PS_MAGE36,PS_MONK36,PS_ROGUE36,PS_WARR36
ICantDoThat,PS_WARR37,PS_ROGUE37,PS_MAGE37,PS_MONK37,PS_ROGUE37,PS_WARR37
No,PS_WARR38,PS_ROGUE38,PS_MAGE38,PS_MONK38,PS_ROGUE38,PS_WARR38
Yes,PS_WARR39,PS_ROGUE39,PS_MAGE39,PS_MONK39,PS_ROGUE39,PS_WARR39
ThatWontWork,PS_WARR40,PS_ROGUE40,PS_MAGE40,PS_MONK40,PS_ROGUE40,PS_WARR40
ThatWontWorkHere,PS_WARR41,PS_ROGUE41,PS_MAGE41,PS_MONK41,PS_ROGUE41,PS_WARR41
ThatWontWorkYet,PS_WARR42,PS_ROGUE42,PS_MAGE42,PS_MONK42,PS_ROGUE42,PS_WARR42
ICantGetThereFromHere,PS_WARR43,PS_ROGUE43,PS_MAGE43,PS_MONK43,PS_ROGUE43,PS_WARR43
ItsTooHeavy,PS_WARR44,PS_ROGUE44,PS_MAGE44,PS_MONK44,PS_ROGUE44,PS_WARR44
ItsTooBig,PS_WARR45,PS_ROGUE45,PS_MAGE45,PS_MONK45,PS_ROGUE45,PS_WARR45
JustWhatIWasLookingFor,PS_WARR46,PS_ROGUE46,PS_MAGE46,PS_MONK46,PS_ROGUE46,PS_WARR46
IveGotABadFeelingAboutThis,PS_WARR47,PS_ROGUE47,PS_MAGE47,PS_MONK47,PS_ROGUE47,PS_WARR47
GotMilk,PS_WARR48,PS_ROGUE48,PS_MAGE48,PS_MONK48,PS_ROGUE48,PS_WARR48
