id,x,y
helmet,132,31
helmet,160,31
helmet,132,59
helmet,160,59
leftring,45,205
rightring,247,205
amulet,204,59
lefthand,17,104
lefthand,46,104
lefthand,17,132
lefthand,46,132
lefthand,17,160
lefthand,46,160
righthand,247,104
righthand,276,104
righthand,247,132
righthand,276,132
righthand,247,160
righthand,276,160
chest,132,104
chest,160,104
chest,132,132
chest,160,132
chest,132,160
chest,160,160
invrow1,17,250
invrow1,46,250
invrow1,75,250
invrow1,104,250
invrow1,133,250
invrow1,162,250
invrow1,191,250
invrow1,220,250
invrow1,249,250
invrow1,278,250
invrow2,17,279
invrow2,46,279
invrow2,75,279
invrow2,104,279
invrow2,133,279
invrow2,162,279
invrow2,191,279
invrow2,220,279
invrow2,249,279
invrow2,278,279
invrow3,17,308
invrow3,46,308
invrow3,75,308
invrow3,104,308
invrow3,133,308
invrow3,162,308
invrow3,191,308
invrow3,220,308
invrow3,249,308
invrow3,278,308
invrow4,17,337
invrow4,46,337
invrow4,75,337
invrow4,104,337
invrow4,133,337
invrow4,162,337
invrow4,191,337
invrow4,220,337
invrow4,249,337
invrow4,278,337
