mName,mAddProc,mProc,mDraw,mType,mResist,mFileNum,miSFX,mlSFX,MovementDistribution
MIS_ARROW,AddArrow,MI_Arrow,TRUE,0,MISR_NONE,MFILE_ARROWS,SFX_NONE,SFX_NONE,Blockable
MIS_FIREBOLT,AddFirebolt,MI_Firebolt,TRUE,1,MISR_FIRE,MFILE_FIREBA,LS_FBOLT1,LS_FIRIMP2,Blockable
MIS_GUARDIAN,AddGuardian,MI_Guardian,TRUE,1,MISR_NONE,MFILE_GUARD,LS_GUARD,LS_GUARDLAN,Disabled
MIS_RNDTELEPORT,AddRndTeleport,MI_Teleport,FALSE,1,MISR_NONE,MFILE_NONE,LS_TELEPORT,SFX_NONE,Disabled
MIS_LIGHTBALL,AddLightball,MI_Lightball,TRUE,1,MISR_LIGHTNING,MFILE_LGHNING,SFX_NONE,SFX_NONE,UnBlockable
MIS_FIREWALL,AddFirewall,MI_Firewall,TRUE,1,MISR_FIRE,MFILE_FIREWAL,LS_WALLLOOP,LS_FIRIMP2,Disabled
MIS_FIREBALL,AddFireball,MI_Fireball,TRUE,1,MISR_FIRE,MFILE_FIREBA,LS_FBOLT1,LS_FIRIMP2,Blockable
MIS_LIGHTCTRL,AddLightctrl,MI_Lightctrl,FALSE,1,MISR_LIGHTNING,MFILE_LGHNING,SFX_NONE,SFX_NONE,Disabled
MIS_LIGHTNING,AddLightning,MI_Lightning,TRUE,1,MISR_LIGHTNING,MFILE_LGHNING,LS_LNING1,LS_ELECIMP1,Disabled
MIS_MISEXP,AddMisexp,MI_Misexp,TRUE,2,MISR_NONE,MFILE_MAGBLOS,SFX_NONE,SFX_NONE,Disabled
MIS_TOWN,AddTown,MI_Town,TRUE,1,MISR_MAGIC,MFILE_PORTAL,LS_SENTINEL,LS_ELEMENTL,Disabled
MIS_FLASH,AddFlash,MI_Flash,TRUE,1,MISR_MAGIC,MFILE_BLUEXFR,LS_NOVA,LS_ELECIMP1,Disabled
MIS_FLASH2,AddFlash2,MI_Flash2,TRUE,1,MISR_MAGIC,MFILE_BLUEXBK,SFX_NONE,SFX_NONE,Disabled
MIS_MANASHIELD,AddManashield,nullptr,FALSE,1,MISR_MAGIC,MFILE_MANASHLD,LS_MSHIELD,SFX_NONE,Disabled
MIS_FIREMOVE,AddFiremove,MI_Firemove,TRUE,1,MISR_FIRE,MFILE_FIREWAL,SFX_NONE,SFX_NONE,UnBlockable
MIS_CHAIN,AddChain,MI_Chain,TRUE,1,MISR_LIGHTNING,MFILE_LGHNING,LS_LNING1,LS_ELECIMP1,Disabled
MIS_SENTINAL,nullptr,nullptr,TRUE,1,MISR_LIGHTNING,MFILE_LGHNING,SFX_NONE,SFX_NONE,Disabled
MIS_BLODSTAR,nullptr,nullptr,TRUE,2,MISR_NONE,MFILE_BLOOD,LS_BLODSTAR,LS_BLSIMPT,Disabled
MIS_BONE,nullptr,nullptr,TRUE,2,MISR_NONE,MFILE_BONE,SFX_NONE,SFX_NONE,Disabled
MIS_METLHIT,nullptr,nullptr,TRUE,2,MISR_NONE,MFILE_METLHIT,SFX_NONE,SFX_NONE,Disabled
MIS_RHINO,AddRhino,MI_Rhino,TRUE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Blockable
MIS_MAGMABALL,AddMagmaball,MI_Firebolt,TRUE,1,MISR_FIRE,MFILE_MAGBALL,SFX_NONE,SFX_NONE,Blockable
MIS_LIGHTCTRL2,AddLightctrl,MI_Lightctrl,FALSE,1,MISR_LIGHTNING,MFILE_THINLGHT,SFX_NONE,SFX_NONE,Disabled
MIS_LIGHTNING2,AddLightning,MI_Lightning,TRUE,1,MISR_LIGHTNING,MFILE_THINLGHT,SFX_NONE,SFX_NONE,Disabled
MIS_FLARE,AddFlare,MI_Firebolt,TRUE,1,MISR_MAGIC,MFILE_FLARE,SFX_NONE,SFX_NONE,Blockable
MIS_MISEXP2,AddMisexp,MI_Misexp,TRUE,2,MISR_MAGIC,MFILE_FLAREEXP,SFX_NONE,SFX_NONE,Disabled
MIS_TELEPORT,AddTeleport,MI_Teleport,FALSE,1,MISR_NONE,MFILE_NONE,LS_ELEMENTL,SFX_NONE,Disabled
MIS_FARROW,AddLArrow,MI_LArrow,TRUE,0,MISR_FIRE,MFILE_FARROW,SFX_NONE,SFX_NONE,Blockable
MIS_DOOMSERP,nullptr,nullptr,FALSE,1,MISR_MAGIC,MFILE_DOOM,LS_DSERP,SFX_NONE,Disabled
MIS_FIREWALLA,nullptr,nullptr,TRUE,2,MISR_FIRE,MFILE_FIREWAL,SFX_NONE,SFX_NONE,Disabled
MIS_STONE,AddStone,MI_Stone,FALSE,1,MISR_MAGIC,MFILE_NONE,LS_SCURIMP,SFX_NONE,Disabled
MIS_NULL_1F,nullptr,nullptr,TRUE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_INVISIBL,nullptr,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,LS_INVISIBL,SFX_NONE,Disabled
MIS_GOLEM,AddGolem,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,LS_GOLUM,SFX_NONE,Disabled
MIS_ETHEREALIZE,nullptr,nullptr,TRUE,1,MISR_NONE,MFILE_ETHRSHLD,LS_ETHEREAL,SFX_NONE,Disabled
MIS_BLODBUR,nullptr,nullptr,TRUE,2,MISR_NONE,MFILE_BLODBUR,SFX_NONE,SFX_NONE,Disabled
MIS_BOOM,AddBoom,MI_Boom,TRUE,2,MISR_NONE,MFILE_NEWEXP,SFX_NONE,SFX_NONE,Disabled
MIS_HEAL,AddHeal,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_FIREWALLC,AddFirewallC,MI_FirewallC,FALSE,1,MISR_FIRE,MFILE_FIREWAL,SFX_NONE,SFX_NONE,Disabled
MIS_INFRA,AddInfra,MI_Infra,FALSE,1,MISR_NONE,MFILE_NONE,LS_INFRAVIS,SFX_NONE,Disabled
MIS_IDENTIFY,AddIdentify,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_WAVE,AddWave,MI_Wave,TRUE,1,MISR_FIRE,MFILE_FIREWAL,LS_FLAMWAVE,SFX_NONE,Disabled
MIS_NOVA,AddNova,MI_Nova,TRUE,1,MISR_LIGHTNING,MFILE_LGHNING,LS_NOVA,SFX_NONE,Disabled
MIS_BLODBOIL,AddBlodboil,MI_Blodboil,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_APOCA,AddApoca,MI_Apoca,TRUE,1,MISR_MAGIC,MFILE_NEWEXP,LS_APOC,SFX_NONE,Disabled
MIS_REPAIR,AddRepair,nullptr,FALSE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_RECHARGE,AddRecharge,nullptr,FALSE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_DISARM,AddDisarm,nullptr,FALSE,2,MISR_NONE,MFILE_NONE,LS_TRAPDIS,SFX_NONE,Disabled
MIS_FLAME,AddFlame,MI_Flame,TRUE,1,MISR_FIRE,MFILE_INFERNO,LS_SPOUTSTR,SFX_NONE,Disabled
MIS_FLAMEC,AddFlamec,MI_Flamec,FALSE,1,MISR_FIRE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_FIREMAN,nullptr,nullptr,TRUE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Blockable
MIS_KRULL,nullptr,nullptr,TRUE,0,MISR_FIRE,MFILE_KRULL,SFX_NONE,SFX_NONE,Blockable
MIS_CBOLT,AddCbolt,MI_Cbolt,TRUE,1,MISR_LIGHTNING,MFILE_MINILTNG,LS_CBOLT,SFX_NONE,Blockable
MIS_HBOLT,AddHbolt,MI_Hbolt,TRUE,1,MISR_NONE,MFILE_HOLY,LS_HOLYBOLT,LS_ELECIMP1,Blockable
MIS_RESURRECT,AddResurrect,nullptr,FALSE,1,MISR_MAGIC,MFILE_NONE,SFX_NONE,LS_RESUR,Disabled
MIS_TELEKINESIS,AddTelekinesis,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,LS_ETHEREAL,SFX_NONE,Disabled
MIS_LARROW,AddLArrow,MI_LArrow,TRUE,0,MISR_LIGHTNING,MFILE_LARROW,SFX_NONE,SFX_NONE,Blockable
MIS_ACID,AddAcid,MI_Firebolt,TRUE,1,MISR_ACID,MFILE_ACIDBF,LS_ACID,SFX_NONE,Blockable
MIS_MISEXP3,AddMisexp,MI_Acidsplat,TRUE,2,MISR_ACID,MFILE_ACIDSPLA,SFX_NONE,SFX_NONE,Disabled
MIS_ACIDPUD,AddAcidpud,MI_Acidpud,TRUE,2,MISR_ACID,MFILE_ACIDPUD,LS_PUDDLE,SFX_NONE,Disabled
MIS_HEALOTHER,AddHealOther,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_ELEMENT,AddElement,MI_Element,TRUE,1,MISR_FIRE,MFILE_FIRERUN,LS_ELEMENTL,SFX_NONE,UnBlockable
MIS_RESURRECTBEAM,AddResurrectBeam,MI_ResurrectBeam,TRUE,1,MISR_NONE,MFILE_RESSUR1,SFX_NONE,SFX_NONE,Disabled
MIS_BONESPIRIT,AddBoneSpirit,MI_Bonespirit,TRUE,1,MISR_MAGIC,MFILE_SKLBALL,LS_BONESP,LS_BSIMPCT,Blockable
MIS_WEAPEXP,AddWeapexp,MI_Weapexp,TRUE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_RPORTAL,AddRportal,MI_Rportal,TRUE,2,MISR_NONE,MFILE_RPORTAL,LS_SENTINEL,LS_ELEMENTL,Disabled
MIS_BOOM2,AddBoom,MI_Boom,TRUE,2,MISR_NONE,MFILE_FIREPLAR,SFX_NONE,SFX_NONE,Disabled
MIS_DIABAPOCA,AddDiabApoca,nullptr,FALSE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_MANA,AddMana,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_MAGI,AddMagi,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_LIGHTWALL,AddLightningWall,MI_LightningWall,TRUE,1,MISR_LIGHTNING,MFILE_LGHNING,LS_LMAG,LS_ELECIMP1,Disabled
MIS_LIGHTNINGWALL,AddFirewallC,MI_LightningWallC,FALSE,1,MISR_LIGHTNING,MFILE_LGHNING,SFX_NONE,SFX_NONE,Disabled
MIS_IMMOLATION,AddNova,MI_FireNova,TRUE,1,MISR_FIRE,MFILE_FIREBA,LS_FBOLT1,LS_FIRIMP2,Disabled
MIS_SPECARROW,AddSpecArrow,MI_SpecArrow,TRUE,0,MISR_NONE,MFILE_ARROWS,SFX_NONE,SFX_NONE,Disabled
MIS_FIRENOVA,AddFireNova,MI_Fireball,TRUE,1,MISR_FIRE,MFILE_FIREBA,IS_FBALLBOW,LS_FIRIMP2,Blockable
MIS_LIGHTARROW,AddLightningArrow,MI_LightningArrow,FALSE,1,MISR_LIGHTNING,MFILE_LGHNING,IS_FBALLBOW,SFX_NONE,Disabled
MIS_CBOLTARROW,AddCboltArrow,MI_Cbolt,TRUE,1,MISR_LIGHTNING,MFILE_MINILTNG,LS_CBOLT,SFX_NONE,Blockable
MIS_HBOLTARROW,AddHbolt,MI_Hbolt,TRUE,1,MISR_NONE,MFILE_HOLY,LS_HOLYBOLT,LS_ELECIMP1,Blockable
MIS_WARP,AddWarp,MI_Teleport,FALSE,1,MISR_NONE,MFILE_NONE,LS_ETHEREAL,SFX_NONE,Disabled
MIS_REFLECT,AddReflection,nullptr,FALSE,1,MISR_NONE,MFILE_REFLECT,LS_MSHIELD,SFX_NONE,Disabled
MIS_BERSERK,AddBerserk,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_FIRERING,AddRing,MI_FireRing,FALSE,1,MISR_FIRE,MFILE_FIREWAL,SFX_NONE,SFX_NONE,Disabled
MIS_STEALPOTS,AddStealPotions,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_MANATRAP,AddManaTrap,nullptr,FALSE,1,MISR_NONE,MFILE_NONE,IS_CAST7,SFX_NONE,Disabled
MIS_LIGHTRING,nullptr,nullptr,FALSE,1,MISR_LIGHTNING,MFILE_LGHNING,SFX_NONE,SFX_NONE,Disabled
MIS_SEARCH,AddSearch,MI_Search,FALSE,1,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_FLASHFR,nullptr,nullptr,FALSE,1,MISR_MAGIC,MFILE_BLUEXFR,SFX_NONE,LS_ELECIMP1,Disabled
MIS_FLASHBK,nullptr,nullptr,FALSE,1,MISR_MAGIC,MFILE_BLUEXBK,SFX_NONE,SFX_NONE,Disabled
MIS_IMMOLATION2,nullptr,nullptr,TRUE,1,MISR_FIRE,MFILE_FIREBA,LS_FBOLT1,LS_FIRIMP2,Disabled
MIS_RUNEFIRE,AddFireRune,MI_Rune,TRUE,1,MISR_NONE,MFILE_RUNE,SFX_NONE,SFX_NONE,Disabled
MIS_RUNELIGHT,AddLightningRune,MI_Rune,TRUE,1,MISR_NONE,MFILE_RUNE,SFX_NONE,SFX_NONE,Disabled
MIS_RUNENOVA,AddGreatLightningRune,MI_Rune,TRUE,1,MISR_NONE,MFILE_RUNE,SFX_NONE,SFX_NONE,Disabled
MIS_RUNEIMMOLAT,AddImmolationRune,MI_Rune,TRUE,1,MISR_NONE,MFILE_RUNE,SFX_NONE,SFX_NONE,Disabled
MIS_RUNESTONE,AddStoneRune,MI_Rune,TRUE,1,MISR_NONE,MFILE_RUNE,SFX_NONE,SFX_NONE,Disabled
MIS_HIVEEXP,AddRuneExplosion,MI_HiveExplode,TRUE,1,MISR_FIRE,MFILE_BIGEXP,LS_NESTXPLD,LS_NESTXPLD,Disabled
MIS_HORKDMN,AddHorkSpawn,MI_HorkSpawn,TRUE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_JESTER,AddJester,nullptr,FALSE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_HIVEEXP2,AddHiveExplosion,nullptr,FALSE,2,MISR_NONE,MFILE_NONE,SFX_NONE,SFX_NONE,Disabled
MIS_LICH,AddFlare,MI_Firebolt,TRUE,1,MISR_MAGIC,MFILE_LICH,SFX_NONE,SFX_NONE,Blockable
MIS_PSYCHORB,AddFlare,MI_Firebolt,TRUE,1,MISR_MAGIC,MFILE_BONEDEMON,SFX_NONE,SFX_NONE,Blockable
MIS_NECROMORB,AddFlare,MI_Firebolt,TRUE,1,MISR_MAGIC,MFILE_NECROMORB,SFX_NONE,SFX_NONE,Blockable
MIS_ARCHLICH,AddFlare,MI_Firebolt,TRUE,1,MISR_MAGIC,MFILE_ARCHLICH,SFX_NONE,SFX_NONE,Blockable
MIS_BONEDEMON,AddFlare,MI_Firebolt,TRUE,1,MISR_MAGIC,MFILE_BONEDEMON,SFX_NONE,SFX_NONE,Blockable
MIS_EXYEL2,AddMisexp,MI_Misexp,TRUE,2,MISR_NONE,MFILE_EXYEL2,LS_FIRIMP2,SFX_NONE,Disabled
MIS_EXRED3,AddMisexp,MI_Misexp,TRUE,2,MISR_NONE,MFILE_EXRED3,LS_FIRIMP2,SFX_NONE,Disabled
MIS_EXBL2,AddMisexp,MI_Misexp,TRUE,2,MISR_NONE,MFILE_EXBL2,LS_FIRIMP2,SFX_NONE,Disabled
MIS_EXBL3,AddMisexp,MI_Misexp,TRUE,2,MISR_NONE,MFILE_EXBL3,LS_FIRIMP2,SFX_NONE,Disabled
MIS_EXORA1,AddMisexp,MI_Misexp,TRUE,2,MISR_NONE,MFILE_EXORA1,LS_FIRIMP2,SFX_NONE,Disabled
