id,mName,GraphicType,sndfile,TransFile,width,mImage,has_special,snd_special,has_trans,Frames0,Frames1,Frames2,Frames3,Frames4,Frames5,Rate0,Rate1,Rate2,Rate3,Rate4,Rate5,mMinDLvl,mMaxDLvl,mLevel,mMinHP,mMaxHP,mAi,mFlags,mInt,mHit,mAFNum,mMinDamage,mMaxDamage,mHit2,mAFNum2,mMinDamage2,mMaxDamage2,mArmorClass,mMonstClass,mMagicRes,mMagicRes2,mSelFlag,mTreasure,mExp,Version
MT_NZOMBIE,Zombie,Monsters\Zombie\Zombie%c,Monsters\Zombie\Zombie%c%i.WAV,nullptr,128,799,FALSE,FALSE,FALSE,11,24,12,6,16,0,4,1,1,1,1,1,1,3,1,4,7,AI_ZOMBIE,0,0,10,8,2,5,0,0,0,0,5,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,54,MAT_ALWAYS
MT_BZOMBIE,Ghoul,Monsters\Zombie\Zombie%c,Monsters\Zombie\Zombie%c%i.WAV,Monsters\Zombie\Bluered.TRN,128,799,FALSE,FALSE,TRUE,11,24,12,6,16,0,4,1,1,1,1,1,2,4,2,7,11,AI_ZOMBIE,0,1,10,8,3,10,0,0,0,0,10,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,58,MAT_ALWAYS
MT_GZOMBIE,Rotting Carcass,Monsters\Zombie\Zombie%c,Monsters\Zombie\Zombie%c%i.WAV,Monsters\Zombie\Grey.TRN,128,799,FALSE,FALSE,TRUE,11,24,12,6,16,0,4,1,1,1,1,1,2,6,4,15,25,AI_ZOMBIE,0,2,25,8,5,15,0,0,0,0,15,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|RESIST_FIRE|IMMUNE_NULL_40,3,0,136,MAT_ALWAYS
MT_YZOMBIE,Black Death,Monsters\Zombie\Zombie%c,Monsters\Zombie\Zombie%c%i.WAV,Monsters\Zombie\Yellow.TRN,128,799,FALSE,FALSE,TRUE,11,24,12,6,16,0,4,1,1,1,1,1,4,8,6,25,40,AI_ZOMBIE,0,3,30,8,6,22,0,0,0,0,20,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,240,MAT_ALWAYS
MT_RFALLSP,Fallen One,Monsters\FalSpear\Phall%c,Monsters\FalSpear\Phall%c%i.WAV,Monsters\FalSpear\FallenT.TRN,128,543,TRUE,TRUE,TRUE,11,11,13,11,18,13,3,1,1,1,1,1,1,3,1,1,4,AI_FALLEN,0,0,15,7,1,3,0,5,0,0,0,MC_ANIMAL,0,0,3,0,46,MAT_ALWAYS
MT_DFALLSP,Carver,Monsters\FalSpear\Phall%c,Monsters\FalSpear\Phall%c%i.WAV,Monsters\FalSpear\Dark.TRN,128,543,TRUE,TRUE,TRUE,11,11,13,11,18,13,3,1,1,1,1,1,2,5,3,4,8,AI_FALLEN,0,2,20,7,2,5,0,5,0,0,5,MC_ANIMAL,0,0,3,0,80,MAT_ALWAYS
MT_YFALLSP,Devil Kin,Monsters\FalSpear\Phall%c,Monsters\FalSpear\Phall%c%i.WAV,nullptr,128,543,TRUE,TRUE,FALSE,11,11,13,11,18,13,3,1,1,1,1,1,3,7,5,12,24,AI_FALLEN,0,2,25,7,3,7,0,5,0,0,10,MC_ANIMAL,0,RESIST_FIRE,3,0,155,MAT_ALWAYS
MT_BFALLSP,Dark One,Monsters\FalSpear\Phall%c,Monsters\FalSpear\Phall%c%i.WAV,Monsters\FalSpear\Blue.TRN,128,543,TRUE,TRUE,TRUE,11,11,13,11,18,13,3,1,1,1,1,1,5,9,7,20,36,AI_FALLEN,0,3,30,7,4,8,0,5,0,0,15,MC_ANIMAL,IMMUNE_NULL_40,RESIST_LIGHTNING|IMMUNE_NULL_40,3,0,255,MAT_ALWAYS
MT_WSKELAX,Skeleton,Monsters\SkelAxe\SklAx%c,Monsters\SkelAxe\SklAx%c%i.WAV,Monsters\SkelAxe\White.TRN,128,553,TRUE,FALSE,TRUE,12,8,13,6,17,16,5,1,1,1,1,1,1,3,1,2,4,AI_SKELSD,0,0,20,8,1,4,0,0,0,0,0,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,64,MAT_ALWAYS
MT_TSKELAX,Corpse Axe,Monsters\SkelAxe\SklAx%c,Monsters\SkelAxe\SklAx%c%i.WAV,Monsters\SkelAxe\Skelt.TRN,128,553,TRUE,FALSE,TRUE,12,8,13,6,17,16,4,1,1,1,1,1,2,5,2,4,7,AI_SKELSD,0,1,25,8,3,5,0,0,0,0,0,MC_UNDEAD,IMMUNE_MAGIC|IMMUNE_NULL_40,IMMUNE_MAGIC|IMMUNE_NULL_40,3,0,68,MAT_ALWAYS
