UIName,UIItemId,UIMinLvl,UINumPL,UIValue,ItemPower0Type,ItemPower0Param1,ItemPower0Param2,ItemPower1Type,ItemPower1Param1,ItemPower1Param2,ItemPower2Type,ItemPower2Param1,ItemPower2Param2,ItemPower3Type,ItemPower3Param1,ItemPower3Param2,ItemPower4Type,ItemPower4Param1,ItemPower4Param2,ItemPower5Type,ItemPower5Param1,ItemPower5Param2
The Butcher's Cleaver,UITYPE_CLEAVER,1,3,3650,IPL_STR,10,10,IPL_SETDAM,4,24,IPL_SETDUR,10,10,IPL_INVALID,0,0,IPL_INVALID,0,0,IPL_INVALID,0,0
The Undead Crown,UITYPE_SKCROWN,1,3,16650,IPL_RNDSTEALLIFE,0,0,IPL_SETAC,8,8,IPL_INVCURS,77,0,IPL_INVALID,0,0,IPL_INVALID,0,0,IPL_INVALID,0,0
Empyrean Band,UITYPE_INFRARING,1,4,8000,IPL_ATTRIBS,2,2,IPL_LIGHT,2,2,IPL_FASTRECOVER,1,1,IPL_ABSHALFTRAP,0,0,IPL_INVALID,0,0,IPL_INVALID,0,0
Optic Amulet,UITYPE_OPTAMULET,1,5,9750,IPL_LIGHT,2,2,IPL_LIGHTRES,20,20,IPL_GETHIT,1,1,IPL_MAG,5,5,IPL_INVCURS,44,0,IPL_INVALID,0,0
Ring of Truth,UITYPE_TRING,1,4,9100,IPL_LIFE,10,10,IPL_GETHIT,1,1,IPL_ALLRES,10,10,IPL_INVCURS,10,0,IPL_INVALID,0,0,IPL_INVALID,0,0
Harlequin Crest,UITYPE_HARCREST,1,6,4000,IPL_AC_CURSE,3,3,IPL_GETHIT,1,1,IPL_ATTRIBS,2,2,IPL_LIFE,7,7,IPL_MANA,7,7,IPL_INVCURS,81,0
Veil of Steel,UITYPE_STEELVEIL,1,6,63800,IPL_ALLRES,50,50,IPL_LIGHT_CURSE,2,2,IPL_ACP,60,60,IPL_MANA_CURSE,30,30,IPL_STR,15,15,IPL_VIT,15,15
Arkaine's Valor,UITYPE_ARMOFVAL,1,4,42000,IPL_SETAC,25,25,IPL_VIT,10,10,IPL_GETHIT,3,3,IPL_FASTRECOVER,3,3,IPL_INVALID,0,0,IPL_INVALID,0,0
Griswold's Edge,UITYPE_GRISWOLD,1,6,42000,IPL_FIREDAM,1,10,IPL_TOHIT,25,25,IPL_FASTATTACK,2,2,IPL_KNOCKBACK,0,0,IPL_MANA,20,20,IPL_LIFE_CURSE,20,20
Bovine Plate,UITYPE_BOVINE,1,6,400,IPL_SETAC,150,150,IPL_INDESTRUCTIBLE,0,0,IPL_LIGHT,5,5,IPL_ALLRES,30,30,IPL_MANA_CURSE,50,50,IPL_SPLLVLADD,-2,-2
The Rift Bow,UITYPE_SHORTBOW,1,3,1800,IPL_RNDARROWVEL,0,0,IPL_DAMMOD,2,2,IPL_DEX_CURSE,3,3,IPL_INVALID,0,0,IPL_INVALID,0,0,IPL_INVALID,0,0
The Needler,UITYPE_SHORTBOW,2,4,8900,IPL_TOHIT,50,50,IPL_SETDAM,1,3,IPL_FASTATTACK,2,2,IPL_INVCURS,158,0,IPL_INVALID,0,0,IPL_INVALID,0,0
