_item_indexes,iRnd,iClass,iLoc,iCurs,itype,iItemId,iName,iSName,iMinMLvl,iDurability,iMinDam,iMaxDam,iMinAC,iMaxAC,iMinStr,iMinMag,iMinDex,iFlags,iMiscId,iSpell,iUsable,iValue
IDI_GOLD,IDROP_REGULAR,ICLASS_GOLD,ILOC_UNEQUIPABLE,ICURS_GOLD,ITYPE_GOLD,UITYPE_NONE,Gold,nullptr,1,0,0,0,0,0,0,0,0,ISPL_NONE,IMISC_NONE,SPL_NULL,TRUE,0
IDI_WARRIOR,IDROP_NEVER,ICLASS_WEAPON,ILOC_ONEHAND,ICURS_SHORT_SWORD,ITYPE_SWORD,UITYPE_NONE,Short Sword,nullptr,2,20,2,6,0,0,18,0,0,ISPL_NONE,IMISC_NONE,SPL_NULL,FALSE,50
IDI_WARRSHLD,IDROP_NEVER,ICLASS_ARMOR,ILOC_ONEHAND,ICURS_BUCKLER,ITYPE_SHIELD,UITYPE_NONE,Buckler,nullptr,2,10,0,0,3,3,0,0,0,ISPL_NONE,IMISC_NONE,SPL_NULL,FALSE,50
IDI_WARRCLUB,IDROP_NEVER,ICLASS_WEAPON,ILOC_ONEHAND,ICURS_CLUB,ITYPE_MACE,UITYPE_SPIKCLUB,Club,nullptr,1,20,1,6,0,0,0,0,0,ISPL_NONE,IMISC_NONE,SPL_NULL,FALSE,20
IDI_ROGUE,IDROP_NEVER,ICLASS_WEAPON,ILOC_TWOHAND,ICURS_SHORT_BOW,ITYPE_BOW,UITYPE_NONE,Short Bow,nullptr,1,30,1,4,0,0,0,0,0,ISPL_NONE,IMISC_NONE,SPL_NULL,FALSE,100
IDI_SORCERER,IDROP_NEVER,ICLASS_WEAPON,ILOC_TWOHAND,ICURS_SHORT_STAFF,ITYPE_STAFF,UITYPE_NONE,Cracked Staff of FireBolt,nullptr,1,25,2,4,0,0,0,20,0,ISPL_NONE,IMISC_STAFF,SPL_FIREBOLT,FALSE,520
IDI_CLEAVER,IDROP_NEVER,ICLASS_WEAPON,ILOC_TWOHAND,ICURS_CLEAVER,ITYPE_AXE,UITYPE_CLEAVER,Cleaver,nullptr,10,10,4,24,0,0,0,0,0,ISPL_NONE,IMISC_UNIQUE,SPL_NULL,FALSE,2000
IDI_SKCROWN,IDROP_NEVER,ICLASS_ARMOR,ILOC_HELM,ICURS_THE_UNDEAD_CROWN,ITYPE_HELM,UITYPE_SKCROWN,The Undead Crown,nullptr,0,50,0,0,15,15,0,0,0,ISPL_RNDSTEALLIFE,IMISC_UNIQUE,SPL_NULL,FALSE,10000
IDI_INFRARING,IDROP_NEVER,ICLASS_MISC,ILOC_RING,ICURS_EMPYREAN_BAND,ITYPE_RING,UITYPE_INFRARING,Empyrean Band,nullptr,0,0,0,0,0,0,0,0,0,ISPL_NONE,IMISC_UNIQUE,SPL_NULL,FALSE,8000
IDI_ROCK,IDROP_NEVER,ICLASS_QUEST,ILOC_UNEQUIPABLE,ICURS_MAGIC_ROCK,ITYPE_MISC,UITYPE_NONE,Magic Rock,nullptr,0,0,0,0,0,0,0,0,0,ISPL_NONE,IMISC_NONE,SPL_NULL,FALSE,0
IDI_OPTAMULET,IDROP_NEVER,ICLASS_MISC,ILOC_AMULET,ICURS_OPTIC_AMULET,ITYPE_AMULET,UITYPE_OPTAMULET,Optic Amulet,nullptr,0,0,0,0,0,0,0,0,0,ISPL_NONE,IMISC_UNIQUE,SPL_NULL,FALSE,5000
