id,filename
OFILE_L1BRAZ,L1Braz
OFILE_L1DOORS,L1Doors
OFILE_LEVER,Lever
OFILE_CHEST1,Chest1
OFILE_CHEST2,Chest2
OFILE_BANNER,Banner
OFILE_SKULPILE,SkulPile
OFILE_SKULFIRE,SkulFire
OFILE_SKULSTIK,SkulStik
OFILE_CRUXSK1,CruxSk1
OFILE_CRUXSK2,CruxSk2
OFILE_CRUXSK3,CruxSk3
OFILE_BOOK1,Book1
OFILE_BOOK2,Book2
OFILE_ROCKSTAN,Rockstan
OFILE_ANGEL,Angel
OFILE_CHEST3,Chest3
OFILE_BURNCROS,Burncros
OFILE_CANDLE2,Candle2
OFILE_NUDE2,Nude2
OFILE_SWITCH4,Switch4
OFILE_TNUDEM,TNudeM
OFILE_TNUDEW,TNudeW
OFILE_TSOUL,TSoul
OFILE_L2DOORS,L2Doors
OFILE_WTORCH4,WTorch4
OFILE_WTORCH3,WTorch3
OFILE_SARC,Sarc
OFILE_FLAME1,Flame1
OFILE_PRSRPLT1,Prsrplt1
OFILE_TRAPHOLE,Traphole
OFILE_MINIWATR,MiniWatr
OFILE_WTORCH2,WTorch2
OFILE_WTORCH1,WTorch1
OFILE_BCASE,BCase
OFILE_BSHELF,BShelf
OFILE_WEAPSTND,WeapStnd
OFILE_BARREL,Barrel
OFILE_BARRELEX,Barrelex
OFILE_LSHRINEG,LShrineG
OFILE_RSHRINEG,RShrineG
OFILE_BLOODFNT,Bloodfnt
OFILE_DECAP,Decap
OFILE_PEDISTL,Pedistl
OFILE_L3DOORS,L3Doors
OFILE_PFOUNTN,PFountn
OFILE_ARMSTAND,Armstand
OFILE_GOATSHRN,Goatshrn
OFILE_CAULDREN,Cauldren
OFILE_MFOUNTN,MFountn
OFILE_TFOUNTN,TFountn
OFILE_ALTBOY,Altboy
OFILE_MCIRL,Mcirl
OFILE_BKSLBRNT,Bkslbrnt
OFILE_MUSHPTCH,Mushptch
OFILE_LZSTAND,LzStand
