id,name,minlvl,maxlvl,shrineavail
ShrineMysterious,Mysterious,1,24,ShrineTypeAny
ShrineHidden,Hidden,1,24,ShrineTypeAny
ShrineGloomy,Gloomy,1,24,ShrineTypeSingle
ShrineWeird,Weird,1,24,ShrineTypeSingle
ShrineMagical,Magical,1,24,ShrineTypeAny
ShrineStone,Stone,1,24,ShrineTypeAny
ShrineReligious,Religious,1,24,ShrineTypeAny
ShrineEnchanted,Enchanted,1,8,ShrineTypeAny
ShrineThaumaturgic,Thaumaturgic,1,24,ShrineTypeSingle
ShrineFascinating,Fascinating,1,24,ShrineTypeAny
ShrineCryptic,Cryptic,1,24,ShrineTypeAny
ShrineMagicaL2,Magical,1,24,ShrineTypeAny
ShrineEldritch,Eldritch,1,24,ShrineTypeAny
ShrineEerie,Eerie,1,24,ShrineTypeAny
ShrineDivine,Divine,1,24,ShrineTypeAny
ShrineHoly,Holy,1,24,ShrineTypeAny
ShrineSacred,Sacred,1,24,ShrineTypeAny
ShrineSpiritual,Spiritual,1,24,ShrineTypeAny
ShrineSpooky,Spooky,1,24,ShrineTypeMulti
ShrineAbandoned,Abandoned,1,24,ShrineTypeAny
ShrineCreepy,Creepy,1,24,ShrineTypeAny
ShrineQuiet,Quiet,1,24,ShrineTypeAny
ShrineSecluded,Secluded,1,24,ShrineTypeAny
ShrineOrnate,Ornate,1,24,ShrineTypeAny
ShrineGlimmering,Glimmering,1,24,ShrineTypeAny
ShrineTainted,Tainted,1,24,ShrineTypeMulti
ShrineOily,Oily,1,24,ShrineTypeAny
ShrineGlowing,Glowing,1,24,ShrineTypeAny
ShrineMendicant,Mendicant's,1,24,ShrineTypeAny
ShrineSparkling,Sparkling,1,24,ShrineTypeAny
ShrineTown,Town,1,24,ShrineTypeAny
ShrineShimmering,Shimmering,1,24,ShrineTypeAny
ShrineSolar,Solar,1,24,ShrineTypeSingle
ShrineMurphys,Murphy's,1,24,ShrineTypeAny
