mtype,mName,mTrnName,mlevel,mmaxhp,mAi,mint,mMinDamage,mMaxDamage,mMagicRes,monsterPack,customHitpoints,customArmorClass,mtalkmsg
MT_NGOATMC,GharbadtheWeak,BSDB,4,120,AI_GARBUD,3,8,16,IMMUNE_LIGHTNING|IMMUNE_NULL_40,UniqueMonsterPack::None,0,0,TEXT_GARBUD1
MT_SKING,SkeletonKing,GENRL,0,240,AI_SKELKING,3,6,16,IMMUNE_MAGIC|RESIST_FIRE|RESIST_LIGHTNING|IMMUNE_NULL_40,UniqueMonsterPack::Independent,0,0,TEXT_NONE
MT_COUNSLR,ZhartheMad,GENERAL,8,360,AI_ZHAR,3,16,40,IMMUNE_MAGIC|RESIST_FIRE|RESIST_LIGHTNING,UniqueMonsterPack::None,0,0,TEXT_ZHAR1
MT_BFALLSP,Snotspill,BNG,4,220,AI_SNOTSPIL,3,10,18,RESIST_LIGHTNING,UniqueMonsterPack::None,0,0,TEXT_BANNER10
MT_ADVOCATE,Arch-BishopLazarus,GENERAL,0,600,AI_LAZARUS,3,30,50,IMMUNE_MAGIC|RESIST_FIRE|RESIST_LIGHTNING|IMMUNE_NULL_40,UniqueMonsterPack::None,0,0,TEXT_VILE13
MT_HLSPWN,RedVex,REDV,0,400,AI_LAZHELP,3,30,50,IMMUNE_MAGIC|RESIST_FIRE|IMMUNE_NULL_40,UniqueMonsterPack::None,0,0,TEXT_VILE13
MT_HLSPWN,BlackJade,BLKJD,0,400,AI_LAZHELP,3,30,50,IMMUNE_MAGIC|RESIST_LIGHTNING|IMMUNE_NULL_40,UniqueMonsterPack::None,0,0,TEXT_VILE13
MT_RBLACK,Lachdanan,BHKA,14,500,AI_LACHDAN,3,0,0,0,UniqueMonsterPack::None,0,0,TEXT_VEIL9
MT_BTBLACK,WarlordofBlood,GENERAL,13,850,AI_WARLORD,3,35,50,IMMUNE_MAGIC|IMMUNE_FIRE|IMMUNE_LIGHTNING|IMMUNE_NULL_40,UniqueMonsterPack::None,0,0,TEXT_WARLRD9
MT_CLEAVER,TheButcher,GENRL,0,220,AI_CLEAVER,3,6,12,RESIST_FIRE|RESIST_LIGHTNING|IMMUNE_NULL_40,UniqueMonsterPack::None,0,0,TEXT_NONE
